Legs_Score_REBA,Trunk_Score_REBA,Neck_Score_REBA,Upper_Arm_Score_REBA,Lower_Arm_Score_REBA,Wrist_Score_REBA,Final_Score_REBA,Score_A_REBA,Score_B_REBA,Score_C_REBA,score,risk
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,1,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
1,3,2,1,2,1,3,4,1,3,3,low
